px1,py1,pz1,E1,px2,py2,pz2,E2
-15.5,-4.73,1490,1490,15.5,4.73,47.8,50.5
1.56,26.2,4.05,26.6,-1.56,-26.2,153,155
-40.4,16.2,-356,359,40.4,-16.2,-184,189
-5.9,39.6,-36.4,54.2,5.9,-39.6,6.73,40.6
25.2,34,1170,1170,-25.2,-34,558,560
12.7,-40.5,41.6,59.4,-12.7,40.5,2.42,42.6
-29.7,9.08,-21.4,37.8,29.7,-9.08,-223,226
-23.4,5.79,1260,1260,23.4,-5.79,98.6,101
-37.4,4.08,23,44.1,37.4,-4.08,-36.5,52.4
45.7,6.88,-162,169,-45.7,-6.88,-140,148
38.7,26.6,136,144,-38.7,-26.6,203,209
30.9,-18.9,-87.5,94.7,-30.9,18.9,-7.41,37
-12.3,-24.8,-390,391,12.3,24.8,-40.9,49.4
6.94,44.8,-1010,1010,-6.94,-44.8,-1320,1320
6.87,32.2,934,935,-6.87,-32.2,717,718
53.3,-18,-38.1,67.9,-53.3,18,-41.4,69.9
-44.1,3.79,-99.1,109,44.1,-3.79,-167,173
-6.06,-36.8,135,140,6.06,36.8,29,47.3
-25,-14.8,-584,585,25,14.8,-191,193
16,-1.7,-12,20.1,-16,1.7,119,120
-11.3,44.1,-1440,1440,11.3,-44.1,-1320,1320
-37.2,-6.29,-83.9,92,37.2,6.29,-308,310
37.5,-13.5,-123,129,-37.5,13.5,-31.9,51
-3.34,19.8,83.6,85.9,3.34,-19.8,-10.8,22.8
-25.3,-37.6,-33.8,56.6,25.3,37.6,-34,56.7
8.41,-19.2,-40.1,45.2,-8.41,19.2,-740,740
-30.7,29,-1120,1120,30.7,-29,-577,579
3.27,-39.3,-825,826,-3.27,39.3,-2480,2480
17.5,2.76,857,858,-17.5,-2.76,33.1,37.5
-17.5,40.6,-352,355,17.5,-40.6,-290,293
-30.7,21.6,-1060,1060,30.7,-21.6,-283,285
29.3,15.6,-70.7,78.1,-29.3,-15.6,-401,402
-23.7,28,-126,131,23.7,-28,-396,398
-29.3,-22.7,22.2,43.2,29.3,22.7,-35.1,51.1
-36.3,31.3,-405,408,36.3,-31.3,-320,324
28.6,-16.5,-75.3,82.2,-28.6,16.5,-418,419
12.5,-19.2,16.3,28.1,-12.5,19.2,-90,92.8
20.6,-16.2,-15.4,30.4,-20.6,16.2,-268,269
12.2,20.2,-26.2,35.3,-12.2,-20.2,-401,402
8.92,9.06,26.6,29.4,-8.92,-9.06,1080,1080
-7.07,43,154,160,7.07,-43,88.5,98.7
26.7,-34.3,157,163,-26.7,34.3,312,315
41.8,-3.96,-224,228,-41.8,3.96,-511,513
3.35,4.08,-150,150,-3.35,-4.08,12.7,13.7
35.2,-24.5,-1350,1350,-35.2,24.5,-705,706
-29.7,-33.1,-617,618,29.7,33.1,-436,438
14.3,39.6,-266,270,-14.3,-39.6,-622,624
-40.2,-5.68,-11.3,42.1,40.2,5.68,19.6,45.1
-4.63,-0.936,1.38,4.92,4.63,0.936,-664,664
-6.61,-10.5,15.7,20,6.61,10.5,-114,115
20.4,-4.15,-17.5,27.2,-20.4,4.15,-393,394
-5.18,29.6,-24.7,38.9,5.18,-29.6,-219,221
21.5,3.96,-7.47,23.1,-21.5,-3.96,113,115
43.4,1.15,-253,256,-43.4,-1.15,-128,135
26.2,-32.8,146,152,-26.2,32.8,56.1,70.1
36.7,16.8,-255,258,-36.7,-16.8,-605,606
-22.5,-35.4,-3.94,42.2,22.5,35.4,-42.7,59.9
-18,10.5,0.627,20.8,18,-10.5,-176,177
-11.4,-31.8,577,578,11.4,31.8,110,115
35.4,25.7,-317,320,-35.4,-25.7,-1220,1220
-31.9,16.7,-191,194,31.9,-16.7,-37,51.6
-40.7,-2.47,970,971,40.7,2.47,934,935
9.79,-27.7,-53.6,61.2,-9.79,27.7,-431,432
9.75,-19.7,-16.7,27.6,-9.75,19.7,-347,348
10.2,-11,-177,178,-10.2,11,6.63,16.4
